NOC,Gold,Silver,Bronze,Total,Year,Country,Rank
COL,0,3,1,4,2024,Paris,55
ARM,0,3,1,4,2024,Paris,56
LTU,0,2,2,4,2024,Paris,57
MDA,0,1,3,4,2024,Paris,58
SLO,2,1,0,3,2024,Paris,59
INA,2,0,1,3,2024,Paris,60
ALG,2,0,1,3,2024,Paris,61
ARG,1,1,1,3,2024,Paris,62
EGY,1,1,1,3,2024,Paris,63
TUN,1,1,1,3,2024,Paris,64
TJK,0,0,3,3,2024,Paris,65
LCA,1,1,0,2,2024,Paris,66
CHI,1,1,0,2,2024,Paris,67
UGA,1,1,0,2,2024,Paris,68
BOT,1,1,0,2,2024,Paris,69
DOM,1,0,1,2,2024,Paris,70
MAR,1,0,1,2,2024,Paris,71
KOS,0,1,1,2,2024,Paris,72
ALB,0,0,2,2,2024,Paris,73
GRN,0,0,2,2,2024,Paris,74
PUR,0,0,2,2,2024,Paris,75
MAS,0,0,2,2,2024,Paris,76
PAK,1,0,0,1,2024,Paris,77
DMA,1,0,0,1,2024,Paris,78
PAN,0,1,0,1,2024,Paris,79
JOR,0,1,0,1,2024,Paris,80
CYP,0,1,0,1,2024,Paris,81
MGL,0,1,0,1,2024,Paris,82
FIJ,0,1,0,1,2024,Paris,83
CPV,0,0,1,1,2024,Paris,84
QAT,0,0,1,1,2024,Paris,85
ZAM,0,0,1,1,2024,Paris,86
SIN,0,0,1,1,2024,Paris,87
CIV,0,0,1,1,2024,Paris,88
ROT,0,0,1,1,2024,Paris,89
PER,0,0,1,1,2024,Paris,90
SVK,0,0,1,1,2024,Paris,91
